Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018,MEAN,SEM,Δ/SEM
0.350000,0.056419,0.052006,0.068604,0.053169,0.053448,0.051273,0.063617,0.057020,0.002963,-0.202835
0.355000,0.065671,0.060238,0.078881,0.062552,0.063077,0.060610,0.073616,0.066496,0.003189,-0.258702
0.360000,0.075899,0.069350,0.090316,0.072938,0.073635,0.070936,0.084680,0.076976,0.003461,-0.311182
0.365000,0.087218,0.079505,0.103058,0.084414,0.085131,0.082306,0.096928,0.088557,0.003787,-0.353578
0.370000,0.099741,0.090882,0.117226,0.097072,0.097568,0.094765,0.110456,0.101328,0.004165,-0.381032
0.375000,0.113557,0.103654,0.132883,0.110991,0.110932,0.108345,0.125320,0.115354,0.004587,-0.391759
0.380000,0.128713,0.117964,0.150015,0.126223,0.125180,0.123042,0.141512,0.130656,0.005038,-0.385669
0.385000,0.145193,0.133897,0.168522,0.142772,0.140239,0.138810,0.158950,0.147198,0.005502,-0.364413
0.390000,0.162909,0.151461,0.188216,0.160583,0.155998,0.155551,0.177473,0.164880,0.005965,-0.330427
0.395000,0.181698,0.170576,0.208826,0.179536,0.172315,0.173113,0.196847,0.183535,0.006417,-0.286271
0.400000,0.201332,0.191069,0.230025,0.199445,0.189018,0.191299,0.216784,0.202940,0.006850,-0.234745
0.405000,0.221529,0.212685,0.251447,0.220067,0.205923,0.209875,0.236958,0.222826,0.007264,-0.178552
0.410000,0.241977,0.235103,0.272722,0.241120,0.222844,0.228591,0.257036,0.242903,0.007660,-0.120888
0.415000,0.262358,0.257961,0.293499,0.262303,0.239610,0.247200,0.276703,0.262879,0.008043,-0.064777
0.420000,0.282376,0.280889,0.313479,0.283321,0.256075,0.265474,0.295688,0.282488,0.008416,-0.013308
0.425000,0.301776,0.303536,0.332431,0.303910,0.272133,0.283226,0.313781,0.301503,0.008782,0.031086
0.430000,0.320367,0.325600,0.350205,0.323856,0.287720,0.300316,0.330844,0.319757,0.009138,0.066754
0.435000,0.338028,0.346846,0.366738,0.343013,0.302814,0.316662,0.346823,0.337149,0.009480,0.092722
0.440000,0.354719,0.367126,0.382052,0.361312,0.317438,0.332237,0.361738,0.353650,0.009802,0.109059
0.445000,0.370474,0.386378,0.396242,0.378764,0.331650,0.347071,0.375682,0.369298,0.010099,0.116447
0.450000,0.385396,0.404627,0.409463,0.395451,0.345539,0.361238,0.388805,0.384187,0.010369,0.116598
0.455000,0.399642,0.421968,0.421914,0.411520,0.359213,0.374850,0.401303,0.398461,0.010613,0.111279
0.460000,0.413412,0.438555,0.433817,0.427160,0.372794,0.388047,0.413397,0.412295,0.010837,0.103073
0.465000,0.426924,0.454579,0.445403,0.442585,0.386406,0.400981,0.425323,0.425880,0.011049,0.094488
0.470000,0.440406,0.470246,0.456896,0.458014,0.400171,0.413814,0.437313,0.439409,0.011258,0.088559
0.475000,0.454072,0.485757,0.468500,0.473649,0.414203,0.426700,0.449580,0.453065,0.011472,0.087779
0.480000,0.468113,0.501294,0.480388,0.489661,0.428600,0.439785,0.462314,0.467007,0.011699,0.094538
0.485000,0.482682,0.517005,0.492702,0.506174,0.443442,0.453197,0.475664,0.481364,0.011942,0.110367
0.490000,0.497889,0.532996,0.505544,0.523258,0.458786,0.467041,0.489740,0.496227,0.012200,0.136230
0.495000,0.513791,0.549323,0.518976,0.540925,0.474668,0.481393,0.504601,0.511648,0.012467,0.171894
0.500000,0.530395,0.565995,0.533024,0.559129,0.491094,0.496302,0.520261,0.527634,0.012733,0.216838
0.505000,0.547657,0.582975,0.547678,0.577770,0.508046,0.511785,0.536685,0.544157,0.012983,0.269583
0.510000,0.565485,0.600183,0.562890,0.596704,0.525479,0.527825,0.553790,0.561145,0.013201,0.328763
0.515000,0.583746,0.617507,0.578588,0.615753,0.543321,0.544373,0.571459,0.578500,0.013368,0.392430
0.520000,0.602273,0.634805,0.594669,0.634713,0.561478,0.561353,0.589535,0.596092,0.013466,0.459008
0.525000,0.620878,0.651921,0.611011,0.653372,0.579835,0.578659,0.607840,0.613773,0.013480,0.527077
0.530000,0.639355,0.668690,0.627474,0.671517,0.598258,0.596166,0.626176,0.631380,0.013395,0.595371
0.535000,0.657500,0.684946,0.643906,0.688949,0.616603,0.613727,0.644340,0.648745,0.013202,0.663157
0.540000,0.675109,0.700533,0.660149,0.705487,0.634718,0.631189,0.662129,0.665701,0.012898,0.729415
0.545000,0.691998,0.715312,0.676046,0.720981,0.652450,0.648390,0.679348,0.682088,0.012483,0.793880
0.550000,0.708003,0.729165,0.691443,0.735315,0.669650,0.665172,0.695823,0.697761,0.011962,0.856211
0.555000,0.722987,0.741999,0.706200,0.748407,0.686178,0.681385,0.711401,0.712595,0.011345,0.915998
0.560000,0.736847,0.753750,0.720189,0.760214,0.701911,0.696890,0.725958,0.726485,0.010647,0.973232
0.565000,0.749511,0.764383,0.733306,0.770729,0.716743,0.711570,0.740775,0.739584,0.009887,1.004046
0.570000,0.760945,0.773891,0.745466,0.779976,0.730590,0.725326,0.754673,0.751654,0.009094,1.021663
0.575000,0.771141,0.782294,0.756612,0.788006,0.743395,0.738086,0.767029,0.762570,0.008284,1.034645
0.580000,0.780125,0.789633,0.766711,0.794896,0.755280,0.749802,0.777841,0.772361,0.007458,1.041030
0.585000,0.788667,0.795970,0.775755,0.800737,0.768191,0.760861,0.787163,0.781446,0.006449,1.119708
0.590000,0.796251,0.801891,0.783760,0.806132,0.779778,0.772475,0.795095,0.789855,0.005410,1.182255
0.595000,0.802593,0.807074,0.792006,0.810682,0.790152,0.782687,0.801779,0.797397,0.004424,1.174503
0.600000,0.807856,0.811405,0.799006,0.814483,0.799481,0.791598,0.807389,0.803894,0.003537,1.120158
0.605000,0.812225,0.815050,0.804827,0.817725,0.807984,0.799366,0.812128,0.809513,0.002782,0.974838
0.610000,0.815901,0.818189,0.809623,0.820600,0.815915,0.806204,0.816216,0.814458,0.002224,0.648831
0.615000,0.819094,0.821000,0.813569,0.823299,0.823547,0.812369,0.819888,0.818945,0.001978,0.075329
0.620000,0.822022,0.823661,0.816856,0.826005,0.831155,0.818152,0.823385,0.823202,0.002138,-0.551918
0.625000,0.824905,0.826334,0.819681,0.828894,0.839002,0.823869,0.826952,0.827455,0.002647,-0.963355
0.630000,0.827960,0.829167,0.822242,0.832126,0.847312,0.829838,0.830828,0.831919,0.003385,-1.169572
0.635000,0.831400,0.832280,0.824732,0.835845,0.856259,0.836360,0.835240,0.836786,0.004275,-1.259883
0.640000,0.835428,0.835765,0.827333,0.840179,0.865946,0.843696,0.840392,0.842218,0.005279,-1.286228
0.645000,0.840230,0.839686,0.830208,0.845238,0.876394,0.852041,0.846460,0.848338,0.006371,-1.272642
0.650000,0.845970,0.844083,0.833498,0.851115,0.887536,0.861500,0.853572,0.855217,0.007526,-1.228674
0.655000,0.852774,0.848980,0.837318,0.857882,0.899215,0.872070,0.861801,0.862878,0.008713,-1.159647
0.660000,0.860723,0.854397,0.841761,0.865586,0.911203,0.883636,0.871148,0.871289,0.009892,-1.068136
0.665000,0.869835,0.860367,0.846900,0.874238,0.923212,0.895969,0.881534,0.880370,0.011012,-0.956684
0.670000,0.880049,0.866937,0.852796,0.883804,0.934929,0.908753,0.892793,0.890002,0.012017,-0.828243
0.675000,0.891220,0.874169,0.859503,0.894189,0.946043,0.921609,0.904681,0.900032,0.012845,-0.686026
0.680000,0.903115,0.882129,0.867072,0.905227,0.956279,0.934138,0.916885,0.910288,0.013433,-0.533983
0.685000,0.915422,0.890862,0.875537,0.916682,0.965425,0.945958,0.929048,0.920585,0.013728,-0.376093
0.690000,0.927771,0.900366,0.884906,0.928258,0.973344,0.956750,0.940803,0.930738,0.013690,-0.216728
0.695000,0.939772,0.910559,0.895132,0.939619,0.979985,0.966280,0.951806,0.940563,0.013300,-0.059474
0.700000,0.951050,0.921268,0.906095,0.950424,0.985377,0.974415,0.961770,0.949891,0.012569,0.092211
0.705000,0.961286,0.932229,0.917583,0.960364,0.989614,0.981126,0.970493,0.958568,0.011535,0.235631
0.710000,0.970249,0.943104,0.929298,0.969195,0.992833,0.986475,0.977869,0.966462,0.010264,0.368959
0.715000,0.977816,0.953529,0.940874,0.976760,0.995198,0.990593,0.983889,0.973474,0.008841,0.491121
0.720000,0.983968,0.963155,0.951922,0.983005,0.996878,0.993654,0.988628,0.979540,0.007361,0.601549
0.725000,0.988784,0.971699,0.962075,0.987968,0.998032,0.995850,0.992224,0.984641,0.005917,0.700186
0.730000,0.992411,0.978977,0.971040,0.991761,0.998797,0.997371,0.994853,0.988800,0.004585,0.787568
0.735000,0.995037,0.984921,0.978633,0.994549,0.999287,0.998388,0.996706,0.992081,0.003422,0.863822
0.740000,0.996866,0.989570,0.984793,0.996518,0.999591,0.999043,0.997962,0.994579,0.002457,0.930810
0.745000,0.998091,0.993052,0.989576,0.997854,0.999773,0.999451,0.998782,0.996415,0.001696,0.988208
0.750000,0.998878,0.995546,0.993126,0.998725,0.999878,0.999695,0.999297,0.997711,0.001124,1.038256
