Vf,composite,P2020,P2016,S2020,S2016,G2020,AG2020,MEAN,SEM,Δ,Δ/SEM
0.620000,0.887701,0.879061,0.888378,0.892798,0.910281,0.868999,0.886374,0.887648,0.005664,0.000053,0.009357
0.625000,0.902726,0.894463,0.903323,0.907285,0.924128,0.884288,0.901885,0.902562,0.005440,0.000164,0.030147
0.630000,0.916903,0.909099,0.917406,0.920909,0.936827,0.899081,0.916472,0.916632,0.005137,0.000271,0.052755
0.635000,0.930073,0.922815,0.930481,0.933530,0.948263,0.913199,0.929967,0.929709,0.004760,0.000364,0.076471
0.640000,0.942098,0.935465,0.942419,0.945026,0.958362,0.926464,0.942230,0.941661,0.004322,0.000437,0.101111
0.645000,0.952872,0.946928,0.953119,0.955304,0.967097,0.938710,0.953163,0.952387,0.003842,0.000485,0.126236
0.650000,0.962334,0.957118,0.962520,0.964314,0.974492,0.949800,0.962714,0.961826,0.003340,0.000508,0.152096
0.655000,0.970466,0.965993,0.970605,0.972045,0.980614,0.959638,0.970879,0.969962,0.002837,0.000504,0.177652
0.660000,0.977301,0.973555,0.977404,0.978534,0.985565,0.968176,0.977705,0.976823,0.002352,0.000478,0.203231
0.665000,0.982914,0.979852,0.982990,0.983855,0.989477,0.975415,0.983281,0.982478,0.001902,0.000436,0.229232
0.670000,0.987412,0.984974,0.987469,0.988115,0.992493,0.981408,0.987728,0.987031,0.001500,0.000381,0.254000
0.675000,0.990930,0.989038,0.990972,0.991442,0.994761,0.986248,0.991189,0.990608,0.001153,0.000322,0.279271
0.680000,0.993611,0.992183,0.993643,0.993976,0.996426,0.990058,0.993815,0.993350,0.000863,0.000261,0.302433
0.685000,0.995604,0.994554,0.995628,0.995858,0.997617,0.992979,0.995758,0.995399,0.000629,0.000205,0.325914
0.690000,0.997046,0.996296,0.997064,0.997219,0.998448,0.995160,0.997159,0.996891,0.000447,0.000155,0.346756
0.695000,0.998063,0.997541,0.998075,0.998177,0.999013,0.996745,0.998142,0.997949,0.000308,0.000114,0.370130
0.700000,0.998761,0.998408,0.998769,0.998834,0.999387,0.997865,0.998815,0.998680,0.000207,0.000081,0.391304
0.705000,0.999227,0.998995,0.999233,0.999273,0.999628,0.998635,0.999262,0.999171,0.000135,0.000056,0.414815
0.710000,0.999529,0.999382,0.999534,0.999558,0.999780,0.999150,0.999552,0.999493,0.000086,0.000036,0.418605
0.715000,0.999721,0.999629,0.999724,0.999738,0.999873,0.999484,0.999735,0.999697,0.000053,0.000024,0.452830
0.720000,0.999839,0.999783,0.999840,0.999849,0.999929,0.999695,0.999847,0.999824,0.000032,0.000015,0.468750
0.725000,0.999909,0.999877,0.999910,0.999915,0.999961,0.999825,0.999914,0.999900,0.000019,0.000009,0.473684
0.730000,0.999950,0.999932,0.999951,0.999953,0.999979,0.999902,0.999953,0.999945,0.000011,0.000005,0.454545
0.735000,0.999973,0.999963,0.999974,0.999975,0.999989,0.999947,0.999975,0.999970,0.000006,0.000003,0.500000
0.740000,0.999986,0.999981,0.999986,0.999987,0.999994,0.999972,0.999987,0.999985,0.000003,0.000001,0.333333
0.745000,0.999993,0.999990,0.999993,0.999993,0.999997,0.999985,0.999993,0.999992,0.000002,0.000001,0.500000
0.750000,0.999997,0.999995,0.999997,0.999997,0.999999,0.999993,0.999997,0.999996,0.000001,0.000001,1.000000
